SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
204031075,0,0,3,10,7,14,0,0,0,0,0,0,3,0,3,769,733,1501,32,44,76,28,0,30,12,3,17,4,0,3,11,9,16,64,40,99,931,826,1759
205011076,68,49,110,13,7,17,0,0,3,0,0,3,6,3,5,2645,2137,4780,130,114,247,76,0,77,21,5,19,10,3,12,13,12,26,72,62,135,3046,2389,5436
205011077,6,3,11,5,4,9,0,0,0,0,0,0,0,0,0,929,744,1673,34,56,88,31,0,31,9,3,13,8,0,8,21,12,27,71,39,115,1121,857,1978
205011078,8,12,28,9,4,13,0,0,0,0,0,0,0,0,0,1209,1058,2264,63,68,131,35,0,36,3,0,3,4,0,4,16,9,22,72,53,118,1414,1203,2619
205011079,75,55,129,20,8,30,0,0,0,3,0,3,11,3,17,3083,2661,5753,223,223,442,65,3,74,19,8,30,19,4,24,34,12,49,144,111,259,3706,3097,6801
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
205021081,0,3,4,13,10,18,0,0,0,0,0,0,6,5,9,2129,1917,4044,141,155,295,44,0,44,12,0,14,48,18,66,19,5,27,78,99,182,2501,2216,4715
205021082,3,0,6,16,9,19,0,0,0,0,0,0,0,0,0,1201,1011,2217,58,75,133,46,3,47,10,0,10,11,0,11,30,13,39,84,61,149,1454,1178,2632
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,4,4,11,4,8,13,0,0,0,0,0,4,7,0,7,1169,1122,2295,82,91,174,35,0,33,0,0,0,7,4,13,33,13,43,60,63,127,1398,1307,2709
205021085,3,3,3,4,0,8,0,0,0,0,0,0,0,0,0,641,596,1239,41,32,74,28,0,28,9,0,9,18,17,29,23,7,27,119,99,218,881,755,1635
205021086,0,0,4,6,0,6,4,0,4,0,0,0,3,0,3,727,675,1403,39,45,86,20,0,20,3,0,3,4,0,4,11,0,17,33,25,63,863,752,1616
205031087,0,0,0,11,3,10,0,0,0,0,0,0,3,0,3,1060,899,1960,40,63,108,26,3,29,25,3,30,8,3,13,27,13,37,146,96,249,1345,1092,2436
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
205031089,0,3,3,3,6,14,0,0,0,0,0,0,0,0,0,1380,1182,2568,85,79,165,52,0,55,14,3,20,3,0,3,19,5,27,77,66,150,1649,1350,2998
205031090,3,5,10,16,6,18,0,0,0,3,0,0,0,0,0,1656,1386,3041,92,92,183,34,0,36,23,3,28,18,3,16,20,13,33,152,127,282,2015,1644,3655
