,SA2_MAINCODE_2016,Mode,Mode1,Gender,Count,MaleCount,FemaleCount,UnspecifiedCount,FemaleProp,MaleProp,UnspecifiedProp,,,
239,210011230,Train_M,Train,Male,78,78,0,0,0,0.000492829,0,,,
240,210011231,Train_M,Train,Male,228,228,0,0,0,0.001440576,0,,,
241,210021232,Train_M,Train,Male,128,128,0,0,0,0.000808745,0,,,
242,210021233,Train_M,Train,Male,36,36,0,0,0,0.000227459,0,,,
243,210021234,Train_M,Train,Male,66,66,0,0,0,0.000417009,0,,,
244,210021235,Train_M,Train,Male,34,34,0,0,0,0.000214823,0,,,
245,210031236,Train_M,Train,Male,231,231,0,0,0,0.001459531,0,,,
246,210031237,Train_M,Train,Male,362,362,0,0,0,0.002287231,0,,,
247,210031239,Train_M,Train,Male,891,891,0,0,0,0.00562962,0,,,
248,210031438,Train_M,Train,Male,754,754,0,0,0,0.004764011,0,,,
249,210031439,Train_M,Train,Male,26,26,0,0,0,0.000164276,0,,,
250,210031440,Train_M,Train,Male,69,69,0,0,0,0.000435964,0,,,
251,210041240,Train_M,Train,Male,152,152,0,0,0,0.000960384,0,,,
252,210041241,Train_M,Train,Male,399,399,0,0,0,0.002521008,0,,,
253,210051242,Train_M,Train,Male,180,180,0,0,0,0.001137297,0,,,
254,210051243,Train_M,Train,Male,116,116,0,0,0,0.000732925,0,,,
255,210051245,Train_M,Train,Male,129,129,0,0,0,0.000815063,0,,,
256,210051246,Train_M,Train,Male,128,128,0,0,0,0.000808745,0,,,
257,210051247,Train_M,Train,Male,110,110,0,0,0,0.000695015,0,,,
258,210051248,Train_M,Train,Male,0,0,0,0,0,0,0,,,
259,210051249,Train_M,Train,Male,210,210,0,0,0,0.001326847,0,,,
260,210051250,Train_M,Train,Male,21,21,0,0,0,0.000132685,0,,,
261,210051441,Train_M,Train,Male,90,90,0,0,0,0.000568649,0,,,
262,210051442,Train_M,Train,Male,137,137,0,0,0,0.000865609,0,,,
263,210051443,Train_M,Train,Male,238,238,0,0,0,0.001503759,0,,,
264,210051444,Train_M,Train,Male,187,187,0,0,0,0.001181525,0,,,
265,210051445,Train_M,Train,Male,29,29,0,0,0,0.000183231,0,,,
266,211011251,Train_M,Train,Male,203,203,0,0,0,0.001282618,0,,,
267,211011254,Train_M,Train,Male,108,108,0,0,0,0.000682378,0,,,
268,211011255,Train_M,Train,Male,41,41,0,0,0,0.000259051,0,,,
269,211011256,Train_M,Train,Male,86,86,0,0,0,0.000543375,0,,,
270,211011257,Train_M,Train,Male,67,67,0,0,0,0.000423327,0,,,
271,211011258,Train_M,Train,Male,43,43,0,0,0,0.000271688,0,,,
272,211011259,Train_M,Train,Male,144,144,0,0,0,0.000909838,0,,,
273,211011260,Train_M,Train,Male,152,152,0,0,0,0.000960384,0,,,
274,211011446,Train_M,Train,Male,314,314,0,0,0,0.001983951,0,,,
275,211011447,Train_M,Train,Male,182,182,0,0,0,0.001149934,0,,,
276,211011448,Train_M,Train,Male,153,153,0,0,0,0.000966702,0,,,
277,211011449,Train_M,Train,Male,29,29,0,0,0,0.000183231,0,,,
278,211021261,Train_M,Train,Male,120,120,0,0,0,0.000758198,0,,,
279,211021262,Train_M,Train,Male,45,45,0,0,0,0.000284324,0,,,
280,211031263,Train_M,Train,Male,101,101,0,0,0,0.00063815,0,,,
281,211031265,Train_M,Train,Male,223,223,0,0,0,0.001408985,0,,,
282,211031266,Train_M,Train,Male,416,416,0,0,0,0.00262842,0,,,
283,211031267,Train_M,Train,Male,571,571,0,0,0,0.003607759,0,,,
284,211031268,Train_M,Train,Male,149,149,0,0,0,0.000941429,0,,,
285,211031450,Train_M,Train,Male,240,240,0,0,0,0.001516396,0,,,
286,211031451,Train_M,Train,Male,215,215,0,0,0,0.001358438,0,,,
287,211031452,Train_M,Train,Male,44,44,0,0,0,0.000278006,0,,,
288,211041269,Train_M,Train,Male,171,171,0,0,0,0.001080432,0,,,
289,211041270,Train_M,Train,Male,675,675,0,0,0,0.004264864,0,,,
290,211041271,Train_M,Train,Male,409,409,0,0,0,0.002584192,0,,,
291,211041272,Train_M,Train,Male,191,191,0,0,0,0.001206799,0,,,
292,211041273,Train_M,Train,Male,126,126,0,0,0,0.000796108,0,,,
293,211051274,Train_M,Train,Male,144,144,0,0,0,0.000909838,0,,,
294,211051275,Train_M,Train,Male,97,97,0,0,0,0.000612877,0,,,
