,SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,GreaterMelb
141,206071141,32,2180,969,400,2200,1.1,1712,2,1
142,206071142,33,2286,925,400,2223,1,1715,2.1,1
143,206071143,36,2167,1001,440,2603,1,1920,2.2,1
144,206071144,33,2200,1102,416,2551,1,2015,2.1,1
145,206071145,36,2300,1066,438,2842,0.9,2193,2.3,1
146,207011146,39,2500,818,400,2754,0.9,2251,2.9,1
147,207011147,43,2500,723,406,2217,0.8,1737,2.6,1
148,207011148,41,2500,702,481,2268,0.8,1996,3,1
149,207011149,41,2500,854,440,2791,0.9,2212,2.7,1
150,207011150,39,2529,965,470,3007,0.9,2438,2.8,1
151,207011151,32,2200,953,371,2661,1,1821,2.2,1
152,207011152,34,2300,971,391,2659,1,1950,2.3,1
153,207011153,39,2500,922,438,2787,0.9,2205,2.6,1
154,207011154,40,2500,840,429,2596,0.9,2152,2.8,1
155,207011155,42,2600,910,416,2961,0.8,2341,2.8,1
156,207021156,44,2000,604,400,1811,0.8,1501,2.7,1
157,207021157,42,2000,572,420,1580,0.8,1364,2.5,1
158,207021159,45,2167,682,451,2090,0.8,1916,2.9,1
159,207021160,44,2064,636,420,1868,0.8,1596,2.7,1
160,207021424,42,2100,593,455,1880,0.8,1743,3,1
161,207021425,40,2000,547,401,1528,0.8,1316,2.6,1
162,207031161,39,2000,709,381,2110,0.9,1693,2.7,1
163,207031162,42,2000,612,351,1964,0.8,1516,2.7,1
164,207031163,33,2000,522,356,1655,1,1200,2.5,1
165,207031164,38,2000,633,391,1905,0.9,1544,2.7,1
166,207031165,29,2000,417,381,1629,0.9,1126,2.6,1
167,207031166,40,2000,514,400,1605,0.8,1373,2.7,1
168,207031167,40,2300,870,411,2685,0.9,2147,2.6,1
169,208011168,46,2600,867,540,2701,0.8,2213,2.7,1
170,208011169,45,2992,1051,521,3351,0.8,2409,2.5,1
171,208011170,43,2500,856,508,2724,0.8,2180,2.7,1
172,208011171,40,2167,809,365,2300,0.9,1724,2.5,1
173,208011172,42,2500,819,400,2697,0.9,2031,2.6,1
