SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Bus_M,Bus_F,Bus_O,Ferry_M,Ferry_F,Ferry_O,Tram_M,Tram_F,Tram_O,Taxi_M,Taxi_F,Taxi_O,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Pass_M,Car_Pass_F,Car_Pass_O,Truck_M,Truck_F,Truck_O,Mbike_M,Mbike_F,Mbike_O,Bike_M,Bike_F,Bike_O,Other_M,Other_F,Other_O,Walk_M,Walk_F,Walk_O
206071143,119,113,6,28,37,3,3,0,0,594,778,4,9,11,-6,1131,1064,4,41,89,-4,9,0,0,38,9,-5,546,442,2,33,20,-2,198,321,8
206071144,1114,1032,-5,45,40,-2,3,0,0,1205,1394,3,22,31,-1,3726,3036,-4,133,262,-1,24,0,-3,90,11,2,675,334,2,59,42,5,1049,1244,-1
206071145,405,429,1,32,45,0,0,0,0,58,44,-5,6,4,1,1032,1009,-6,37,50,-3,9,0,0,29,10,-2,324,194,0,18,6,-6,99,136,0
207011146,321,240,0,12,12,0,0,0,0,3,9,2,3,0,0,1018,918,9,33,52,7,7,0,5,16,0,0,91,14,-5,15,7,-7,48,35,4
207011147,202,156,-2,107,85,3,0,0,0,134,174,1,4,5,1,2179,1807,3,81,193,-1,19,0,0,18,5,3,54,12,-7,21,22,3,75,94,2
207011148,101,66,4,299,240,-3,3,0,0,160,154,2,15,3,-1,3064,2522,9,130,277,3,13,3,-1,26,0,-1,62,4,-4,29,16,-4,72,63,3
207011149,765,606,-2,12,23,-2,0,0,0,139,168,0,13,6,-1,2739,2507,-2,110,198,-7,19,0,1,31,5,-1,153,21,3,23,12,1,141,156,-3
207011150,577,457,-5,13,28,-2,0,0,0,44,54,3,5,0,6,2423,2192,-4,89,161,3,12,0,6,22,4,1,177,31,2,22,19,1,85,85,-3
207011151,1028,932,-5,25,7,-2,0,0,0,462,583,2,15,12,6,2720,2449,6,94,194,4,4,0,0,45,12,0,262,100,-2,39,22,-5,428,489,1
207011152,700,668,-2,9,11,-2,0,0,0,159,159,-2,18,10,0,2046,1816,-4,74,140,-4,6,0,0,29,0,6,142,22,0,30,15,-4,190,244,4
207011153,167,135,4,175,204,1,0,0,0,494,527,-5,14,20,1,3543,2978,-4,145,296,1,18,0,0,50,0,4,220,65,1,53,28,1,220,262,1
207011154,11,10,-4,102,110,2,0,0,0,105,96,-4,4,0,0,990,826,-4,37,74,-4,3,0,0,16,0,0,42,4,5,10,3,2,45,31,-6
207011155,722,553,-5,13,12,1,0,0,0,44,64,4,11,0,3,2207,1857,-6,74,152,-2,10,0,0,18,0,3,86,18,-1,23,12,4,80,96,3
207021156,32,31,0,208,177,-2,0,0,0,4,7,-3,5,0,-1,1822,1419,4,68,162,3,26,0,0,20,3,-1,15,0,0,15,14,-4,23,20,2
207021157,51,46,0,462,459,2,0,0,0,3,7,0,10,3,3,3073,2336,-1,133,282,-2,27,0,-3,31,0,7,17,4,0,27,15,-3,109,113,1
